epoch,train_loss,train_auroc,val_loss,val_auroc,elapsed_s
0,0.734332422288462,0.5287151067323481,0.6876978039741516,0.6206140350877193,1.1
1,0.7043725610160219,0.5610632183908046,0.7179196953773499,0.7349624060150376,0.7
2,0.6936977248603162,0.6180418719211823,0.6571706295013428,0.7365288220551379,0.6
3,0.671779144686251,0.625964696223317,0.66905517578125,0.7192982456140351,0.6
4,0.6594948079258489,0.640353037766831,0.629929530620575,0.7280701754385965,0.7
5,0.6415638062900628,0.6644088669950738,0.7480693459510803,0.7437343358395991,0.6
6,0.6197561838756354,0.6957717569786535,0.6666232109069824,0.7402882205513784,0.6
7,0.6237656575041457,0.706547619047619,0.6598508954048157,0.713032581453634,0.6
8,0.6138474400431965,0.7197454844006569,0.6595062851905823,0.763157894736842,0.7
9,0.5993068155389243,0.7268062397372741,0.5997925758361816,0.7393483709273183,0.7
10,0.5965507895040055,0.7467364532019705,0.6849165916442871,0.7593984962406015,0.7
11,0.6028589811949684,0.7316091954022989,0.6510255336761475,0.7286967418546366,0.6
12,0.612519027706914,0.7166050903119868,0.6409299373626709,0.7575187969924813,0.7
13,0.589393531552519,0.7518062397372742,0.6161209523677826,0.7280701754385964,0.7
14,0.5629365668890957,0.7714696223316913,0.6840072751045227,0.7274436090225564,0.7
15,0.5449951580538156,0.7746305418719212,0.6107051014900208,0.7650375939849624,0.7
16,0.5622558081492829,0.7715517241379309,1.10430908203125,0.7255639097744361,0.7
17,0.5403249208538677,0.8042282430213464,0.6108837008476258,0.7694235588972432,0.7
18,0.5705375275291955,0.7695812807881773,0.6032782673835755,0.7415413533834587,0.7
19,0.5491837371652499,0.7983374384236452,0.6234430789947509,0.6986215538847118,0.7
20,0.5481796184667764,0.7955870279146141,0.7158033728599549,0.737155388471178,0.7
21,0.5429843229988512,0.7958333333333333,0.6414520502090454,0.7023809523809524,0.7
22,0.49808718706853095,0.8408456486042692,0.6199884057044983,0.7481203007518797,0.7
23,0.5423097180101437,0.7996715927750411,0.6022923350334167,0.7543859649122807,0.7
24,0.4949010294466354,0.8417077175697866,0.6065457999706269,0.7631578947368421,0.7
25,0.524502167876917,0.8188423645320198,0.6386836051940918,0.7155388471177945,0.6
26,0.5325238976996547,0.8076354679802955,0.5951176404953002,0.7456140350877193,0.7
27,0.4814846275713497,0.8542487684729064,0.6791275262832641,0.7587719298245614,0.7
