epoch,train_loss,train_auroc,val_loss,val_auroc,elapsed_s
0,0.700336575888978,0.6410509031198686,0.636101496219635,0.7568922305764412,2.1
1,0.6215395778893663,0.7135467980295567,0.5793762922286987,0.7756892230576441,1.3
2,0.580253634018639,0.7576765188834155,0.7655746459960937,0.7593984962406015,1.3
3,0.5653189386422641,0.7773193760262727,0.5547250270843506,0.7913533834586467,1.3
4,0.5272927550842967,0.8122742200328409,0.7223644971847534,0.7838345864661654,1.3
5,0.5464888491188756,0.7882594417077176,0.6107253432273865,0.7781954887218046,1.2
6,0.5516384411543703,0.7932881773399014,0.5483818411827087,0.7825814536340852,1.2
7,0.5727433726048698,0.7736863711001641,0.6145211935043335,0.7850877192982456,1.3
8,0.5496234673851976,0.7922003284072249,0.5416222453117371,0.7888471177944862,1.2
9,0.5480802339105941,0.7925697865353037,0.6175323128700256,0.7879072681704261,1.3
10,0.5229227237236767,0.8236863711001642,0.6153459310531616,0.768483709273183,1.2
11,0.5251068876574214,0.814983579638752,0.5995274305343627,0.7863408521303258,1.3
12,0.5118753825323269,0.8343596059113301,0.6704565048217773,0.6691729323308272,1.3
13,0.5369593341129656,0.807799671592775,0.5584195375442504,0.7944862155388471,1.2
14,0.5198548441877762,0.8225779967159278,0.5729488372802735,0.8013784461152882,1.3
15,0.5194610239217837,0.8166871921182266,0.5673144578933715,0.794486215538847,1.3
16,0.495113055736493,0.8446633825944171,0.5998429417610168,0.8082706766917294,1.3
17,0.4788902011542275,0.8516215106732348,0.6971654653549194,0.7662907268170427,1.2
18,0.47904983743691976,0.8514778325123153,0.5716286897659302,0.7988721804511278,1.3
19,0.47479710135216147,0.8472495894909687,0.6120706081390381,0.7424812030075187,1.2
20,0.4988362810101372,0.8336206896551724,0.535931384563446,0.8264411027568922,1.3
21,0.5048468259576792,0.829679802955665,0.589623498916626,0.7932330827067668,1.3
22,0.46961607205601164,0.8591954022988505,0.6048310160636902,0.7559523809523809,1.3
23,0.48744526972024205,0.8467980295566503,0.588801646232605,0.818295739348371,1.3
24,0.5044662679155795,0.8448481116584565,0.7511078000068665,0.7932330827067668,1.3
25,0.5177127770341623,0.8263546798029557,0.5999442219734192,0.786967418546366,1.3
26,0.48811003213492443,0.8431855500821017,0.6000427722930908,0.8088972431077694,1.3
27,0.46590427916270855,0.8600985221674877,0.5718403577804565,0.7678571428571429,1.3
28,0.450167311837498,0.8717980295566503,0.6200836896896362,0.781328320802005,1.3
29,0.4323518576142125,0.881568144499179,0.6479183673858643,0.7872807017543859,1.3
30,0.4646639591588761,0.8593390804597703,0.575653326511383,0.8082706766917294,1.3
