epoch,train_loss,train_auroc,val_loss,val_auroc,elapsed_s
0,0.7321288974140399,0.5300492610837438,0.6546969532966613,0.6516290726817043,1.1
1,0.6951080383584142,0.5801724137931035,0.6703007698059082,0.6992481203007519,0.7
2,0.6995853328476318,0.5623563218390806,0.6514513611793518,0.7243107769423559,0.7
3,0.6984171617907077,0.5465517241379311,0.6582038640975952,0.712406015037594,0.7
4,0.6937415752167138,0.5660303776683087,0.6481644034385681,0.7161654135338346,0.7
5,0.6787112400935481,0.6237068965517242,0.6551874876022339,0.7299498746867168,0.7
6,0.671686689884137,0.6189860426929392,0.6311643362045288,0.7061403508771931,0.6
7,0.6737192749215392,0.6189655172413794,0.6231789112091064,0.7218045112781956,0.7
8,0.6720313542186261,0.6250410509031199,0.6494310379028321,0.7243107769423558,0.7
9,0.6686414063167267,0.6404146141215106,0.63253093957901,0.7637844611528821,0.7
10,0.6668940340748991,0.6360016420361247,0.6175734758377075,0.7318295739348372,0.6
11,0.6715716864354313,0.6189244663382594,0.6207402348518372,0.7340225563909775,0.7
12,0.664810935338846,0.6313218390804598,0.6842366576194763,0.6578947368421053,0.7
13,0.6668360343756387,0.6324302134646963,0.6003091692924499,0.7484335839598998,0.6
14,0.6567571344086156,0.6581691297208538,0.634356164932251,0.7606516290726817,0.7
15,0.6616364043360701,0.6430008210180624,0.6234467267990113,0.75,0.7
16,0.648722032198129,0.6740353037766831,0.6461320877075195,0.713032581453634,0.7
17,0.6397903782491106,0.6876847290640394,0.6095078945159912,0.7274436090225564,0.7
18,0.6494474780445282,0.6802545155993432,0.6195895671844482,0.7406015037593985,0.7
19,0.6507712311257189,0.671325944170772,0.6208072781562806,0.7324561403508772,0.7
