epoch,train_loss,train_auroc,val_loss,val_auroc,elapsed_s
0,0.7160432483441532,0.5663793103448276,1.4112394094467162,0.5958646616541353,1.1
1,0.6781908780241165,0.6394499178981937,0.660682487487793,0.6447368421052632,0.7
2,0.675354386861332,0.6058087027914615,0.65312420129776,0.6531954887218046,0.6
3,0.644130085032588,0.694355500821018,0.6450945258140564,0.6672932330827068,0.6
4,0.6569619873842112,0.665332512315271,0.6494728446006774,0.6535087719298245,0.6
5,0.6432290804652742,0.6844417077175697,0.65183025598526,0.6782581453634084,0.7
6,0.6128919813960505,0.7254105090311986,0.6451964974403381,0.6697994987468672,0.7
7,0.6143996953583373,0.709688013136289,0.6557062983512878,0.6459899749373433,0.7
8,0.6090319745075969,0.7211001642036126,0.6967114806175232,0.5958646616541353,0.7
9,0.627874231376587,0.6912766830870279,0.6585354804992676,0.6510025062656641,0.7
10,0.6061606407165527,0.7338875205254515,0.6560256838798523,0.6616541353383458,0.7
11,0.6021265242808163,0.7279967159277504,0.6479341268539429,0.6622807017543859,0.7
12,0.6293238513766767,0.7069991789819375,0.6967278003692627,0.6641604010025063,0.7
13,0.6189720390703731,0.7130952380952381,0.6501305341720581,0.6553884711779449,0.7
14,0.6059674018869003,0.7411124794745484,0.6569266080856323,0.6654135338345865,0.7
15,0.6036371362095062,0.727832512315271,0.678212559223175,0.6528822055137845,0.7
