epoch,train_loss,train_auroc,val_loss,val_auroc,elapsed_s
0,0.7517215264871859,0.530952380952381,0.6885902285575867,0.6582080200501254,1.1
1,0.676000968907207,0.6493021346469623,0.8425697565078736,0.6666666666666667,0.6
2,0.6741140142035561,0.6209975369458128,0.6417114734649658,0.7274436090225564,0.7
3,0.6735794264287613,0.627791461412151,0.689826226234436,0.7199248120300752,0.7
4,0.6563977338254642,0.6560550082101806,0.6356767416000366,0.6848370927318296,0.7
5,0.6369233870277771,0.6911740558292283,0.6347906470298768,0.7214912280701755,0.7
6,0.6183928470261181,0.7123152709359606,0.6180342912673951,0.7305764411027569,0.7
7,0.6087617514232477,0.7332101806239738,0.7312204360961914,0.6854636591478697,0.7
8,0.6056407358699714,0.7324302134646962,0.8773854732513428,0.6654135338345865,0.7
9,0.5908417718859907,0.7552134646962233,0.6657293319702149,0.7318295739348372,0.7
10,0.5650943051131008,0.7814655172413794,0.6574855923652649,0.7531328320802005,0.6
11,0.5686234748972872,0.7826765188834153,0.6092189908027649,0.8020050125313284,0.7
12,0.6056910724685596,0.748399014778325,0.6601884484291076,0.7781954887218046,0.7
13,0.558292880035437,0.7893678160919542,0.6272754192352294,0.7449874686716792,0.7
14,0.5289426792543918,0.8106937602627258,0.5527408957481384,0.8164160401002507,0.7
15,0.5647286719407517,0.7811576354679802,0.6191476464271546,0.8195488721804511,0.7
16,0.5487894465367253,0.8000410509031198,0.5515699625015259,0.8120300751879698,0.7
17,0.5035067519631249,0.8400862068965517,0.5198527574539185,0.8427318295739349,0.6
18,0.517555625103533,0.8269704433497537,0.5644531726837159,0.843358395989975,0.7
19,0.5451031176807781,0.8044745484400657,0.5864682674407959,0.8283208020050125,0.7
20,0.5597390743871086,0.8026272577996715,0.5139297008514404,0.8533834586466166,0.7
21,0.5142837049671636,0.8304597701149425,0.6992194414138794,0.8320802005012531,0.7
22,0.5112913043354266,0.8342569786535304,0.8273827075958252,0.8690476190476191,0.7
23,0.48500187023760033,0.8483169129720854,0.5762166619300843,0.8270676691729324,0.7
24,0.483592955639568,0.8511288998357964,0.5126194953918457,0.8402255639097744,0.7
25,0.4394012705777019,0.8754105090311987,0.5100902557373047,0.8533834586466166,0.7
26,0.502812743567811,0.8329844006568146,0.5410548686981201,0.8609022556390977,0.7
27,0.45939256274662077,0.8657840722495894,0.6866168260574341,0.8101503759398496,0.7
28,0.5067097498014712,0.8304392446633826,0.6659916043281555,0.8458646616541354,0.7
29,0.49366881405583585,0.8466133004926107,0.6860317349433899,0.8596491228070174,0.7
30,0.47251285817295596,0.8563628899835796,0.6651734590530396,0.8339598997493735,0.7
31,0.4431934052001173,0.8745894909688012,0.48684293031692505,0.8671679197994988,0.7
32,0.43051884101983456,0.8866584564860428,0.5658758640289306,0.818295739348371,0.7
